0	2025-11-28 18:51:46.003257		PnP Event: Connect	DOWN	0x0	5c 00 3f 00 3f 00 5c 00 55 00 53 00 42 00 23 00 56 00 49 00 44 00 5f 00 30 00 36 00 37 00 42 00 26 00 50 00 49 00 44 00 5f 00 32 00 33 00 30 00 33 00 23 00 36 00 26 00 32 00 64 00 61 00 30 00 65 00 61 00 63 00 35 00 26 00 30 00 26 00 34 00 23 00 7b 00 30 00 31 00 30 00 30 00 66 00 64 00 64 00 37 00 2d 00 62 00 65 00 35 00 61 00 2d 00 34 00 38 00 30 00 38 00 2d 00 39 00 31 00 66 00 35 00 2d 00 30 00 35 00 30 00 30 00 32 00 62 00 63 00 36 00 30 00 66 00 37 00 32 00 7d 00 	\.?.?.\.U.S.B.#.V.I.D._.0.6.7.B.&.P.I.D._.2.3.0.3.#.6.&.2.d.a.0.e.a.c.5.&.0.&.4.#.{.0.1.0.0.f.d.d.7.-.b.e.5.a.-.4.8.0.8.-.9.1.f.5.-.0.5.0.0.2.b.c.6.0.f.7.2.}.
1	2025-11-28 18:51:49.316551	3.313294	IRP_MJ_CREATE - process [[[b6524]]] (C:\Program Files (x86)\TK11\TK11.exe)	DOWN	0x0		
2	2025-11-28 18:51:49.387917	0.071366	IRP_MJ_CREATE	UP	0x0		
4	2025-11-28 18:51:49.387967	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_PROPERTIES]]]	UP	0x0	40 00 02 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 01 00 00 00 ff 00 00 00 7f 00 00 00 ff ff 07 10 0f 00 07 1f 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	@..............................................................
6	2025-11-28 18:51:49.391281	0.003302	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_MODEMSTATUS]]]	UP	0x0	f0 00 00 00 	....
8	2025-11-28 18:51:49.391287	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_BAUD_RATE]]]	UP	0x0	00 96 00 00 	....
10	2025-11-28 18:51:49.391291	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_LINE_CONTROL]]]	UP	0x0	00 00 08 	...
12	2025-11-28 18:51:49.391294	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_CHARS]]]	UP	0x0	1a 00 00 1a 11 13 	......
14	2025-11-28 18:51:49.391300	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_HANDFLOW]]]	UP	0x0	00 00 00 00 00 00 00 00 00 08 00 00 00 02 00 00 	................
16	2025-11-28 18:51:49.391307	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_BAUD_RATE]]]	UP	0x0	00 96 00 00 	....
18	2025-11-28 18:51:49.391310	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_LINE_CONTROL]]]	UP	0x0	00 00 08 	...
20	2025-11-28 18:51:49.391313	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_CHARS]]]	UP	0x0	1a 00 00 1a 11 13 	......
22	2025-11-28 18:51:49.391317	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_HANDFLOW]]]	UP	0x0	00 00 00 00 00 00 00 00 00 08 00 00 00 02 00 00 	................
23	2025-11-28 18:51:49.391320	0.000004	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_BAUD_RATE]]]	DOWN	0x0	00 96 00 00 	....
25	2025-11-28 18:51:49.401337	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_CLR_RTS]]]	DOWN	0x0		
27	2025-11-28 18:51:49.401355	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_CLR_DTR]]]	DOWN	0x0		
29	2025-11-28 18:51:49.401362	0.000004	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_LINE_CONTROL]]]	DOWN	0x0	00 00 08 	...
31	2025-11-28 18:51:49.401368	0.000004	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_CHARS]]]	DOWN	0x0	1a 00 00 1a 11 13 	......
33	2025-11-28 18:51:49.401374	0.000003	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_HANDFLOW]]]	DOWN	0x0	00 00 00 00 00 00 00 00 00 04 00 00 00 04 00 00 	................
36	2025-11-28 18:51:49.401383	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_BAUD_RATE]]]	UP	0x0	00 96 00 00 	....
38	2025-11-28 18:51:49.401386	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_LINE_CONTROL]]]	UP	0x0	00 00 08 	...
40	2025-11-28 18:51:49.401390	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_CHARS]]]	UP	0x0	1a 00 00 1a 11 13 	......
42	2025-11-28 18:51:49.401394	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_HANDFLOW]]]	UP	0x0	00 00 00 00 00 00 00 00 00 04 00 00 00 04 00 00 	................
43	2025-11-28 18:51:49.401399	0.000005	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_BAUD_RATE]]]	DOWN	0x0	00 96 00 00 	....
45	2025-11-28 18:51:49.411408	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_CLR_RTS]]]	DOWN	0x0		
47	2025-11-28 18:51:49.411422	0.000006	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_CLR_DTR]]]	DOWN	0x0		
